		eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
142	b.MAT.25.37a	when	NULL	wanneer	tai	kur	cwaaⁿ	متى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	jmɨˈaanˈˉ	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	nɛn	waatifo	NULL	kiam	NULL	NULL	milloin	quand	orasi	cuin	NA	πότε	ποτε	ય	कब	kada	mikor	NULL	hvenær	quando	NULL	正しい者たちは答えて言うであろう	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	NULL	ल	NULL	wanneer	når	ᐋᓇᐲ	chiang	NULL	oviana	NULL	quando	NULL	nto	jampaˈ	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	NULL	cuándo	kad	lini	när	ܐܡܬܝ	డ	kailan	เม	NA	zaman	коли	or	aude	kañ	nini	NULL
143	b.MAT.25.38a	when	NULL	wanneer	tai	kur	cwaaⁿ	ومتى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	NULL	NULL	когда	NA	NULL	NULL	NULL	kdy	når	als	NULL	NULL	NULL	kiam	millal	ne	milloin	quand	orasi	cuin	þan	πότε	ποτε	ઘ	कब	kada	mikor	NULL	hvenær	quando	NULL	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	nohea	NULL	အခ	NULL	NULL	NULL	når	ᐋᓇᐲ	NULL	NULL	NULL	NULL	quando	tapici	nto	jampaˈ	NULL	kana	cînd	когда	managu	kedyže	kdaj	NULL	goormaannu	cuándo	kad	lini	när	ܘܐܡܬܝ	డ	kailan	เม	NA	NULL	коли	or	aude	kañ	ke	NULL
144	b.MAT.25.39a	when	jaakum	wanneer	tai	kur	NULL	ومتى	րբ	noiz	to	кога	tek	kanus	ñgaean	候	NA	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	NULL	waatifo	NULL	kiam	millal	ne	milloin	quand	NULL	cuin	þan	πότε	δε	ર	कब	kada	mikor	NULL	hvenær	quando	yet	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	NULL	ल	NULL	wanneer	når	ᐋᓇᐲ	NULL	NULL	oviana	NULL	quando	tapici	nto	NULL	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	goormaannu	cuándo	kad	lini	när	ܘܐܡܬܝ	డ	kailan	เม	NA	NULL	коли	or	aude	kañ	ke	NULL
145	b.MAT.25.44a	when	NULL	wanneer	NULL	kur	cwaaⁿ	متى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	NULL	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	nɛn	waatifo	NULL	kiam	NA	eva	milloin	quand	de	cuin	ƕan	πότε	ποτε	ય	कब	kada	mikor	kapankah	hvenær	quando	cachn	NULL	tsukamakmesha	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	အခ	NULL	quemanon	wanneer	når	ᐋᓇᐲ	chiang	NULL	oviana	NULL	quando	NULL	nto	jampaˈ	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	NULL	cuándo	kad	lini	när	ܐܡܬܝ	ప	kailan	เม	NA	zaman	коли	or	aude	kañ	nini	NULL
146	b.MAT.26.1a	when	NULL	toe	tʉpo	mbasi	jnda	ولما	երբ	NULL	NULL	когато	tek	na	anae	了	mɨ	ꮎꮝꭹ	егда	NA	impoiji	ⲉⲧⲁ	lè	když	da	da	NULL	NULL	ɩlɛna	kiam	kui	esi	kun	lorsque	NULL	erreish	biþe	ὅτε	οτε	ય	जब	kad	a	waktu	þegar	NULL	lahwi	NULL	NULL	mi	NULL	NULL	cum	kad	baigęs	NULL	NULL	NULL	NULL	ल	ijcuac	NULL	da	NULL	NULL	چون	rehefa	gdy	havendo	kikitonin	kahudu	aretak	NULL	kana	dupăce	когда	llig	keď	ko	wakati	goortii	cuando	kad	alipomaliza	när	NULL	తర	nang	NULL	NA	NULL	як	cuando	wode	ne	xa	NULL
147	b.MAT.26.6a	when	NULL	toe	NULL	kur	NULL	NULL	երբ	eta	NULL	като	ri	sa	anae	NULL	lajeeˇ	NULL	NULL	NA	impoiji	ⲇⲉ	antan	když	da	da	wen	waato	NULL	kiam	kui	NULL	kun	comme	orasi	tra	NA	γενομένου	οτε	NULL	जब	kad	mikor	ketika	NULL	mentre	yet	NULL	NULL	mi	NULL	NULL	cum	kad	kai	NULL	i	NULL	NULL	NULL	NULL	NULL	da	NULL	NULL	هنگامی	nony	gdy	estando	NULL	NULL	NULL	NULL	kana	cînd	когда	NULL	keď	ko	wakati	goortuu	estando	kad	NULL	när	ܘܟܕ	నప	nang	NULL	NA	NULL	як	NULL	de7ishin	ne	NULL	kuthe
148	b.MAT.26.8a	when	NULL	toe	tai	kur	quia	فلما	երբ	hori	NULL	като	tek	NULL	anae	見	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	wen	waato	NULL	kiam	kui	NULL	NULL	NULL	NA	tra	NA	NULL	ιδοντες	ય	NULL	NULL	NULL	NULL	NULL	NULL	hayet	NULL	NULL	mi	orna	NULL	NULL	kad	NULL	atzaj	no	ह	NULL	NULL	ijcuac	NULL	da	NULL	un	چون	nony	widząc	quando	ici	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	NULL	goortay	al	kad	NULL	då	NULL	NULL	nang	เม	NA	NULL	побачивши	cuando	NULL	bi	NULL	NULL
149	b.MAT.26.10a	when	nuna	toe	a	NULL	quia	NULL	NULL	hori	NULL	NULL	chanin	sa	anae	NULL	NULL	ꭴꮩꮄꮀꮢ	же	NA	NULL	ⲇⲉ	NULL	NULL	da	da	wen	za	ɩlɛna	NULL	kui	NULL	kun	NULL	NULL	tra	NA	δὲ	δε	ય	नकर	NULL	mikor	NULL	NULL	NULL	hayet	NULL	NULL	NULL	NULL	NULL	NULL	bet	NULL	atzaj	NULL	ह	NULL	NULL	NULL	NULL	da	NULL	NULL	NULL	ary	gdy	NULL	pic	NULL	xuta	NULL	NULL	cînd	NULL	NULL	keď	ko	NULL	goortuu	como	kad	NULL	när	NULL	NULL	nang	เม	NA	NULL	NULL	NULL	NULL	NULL	NULL	kepha
150	b.MAT.26.20a	when	NULL	toe	tai	kur	NULL	ولما	երբ	cenean	NULL	NULL	tek	NULL	anae	NULL	NULL	ꭴꮢꮓ	NULL	NA	ari	ⲉⲧⲁ	lè	když	da	NULL	ɣɔn	waato	kɔma	kiam	kui	NULL	kun	NULL	NULL	tra	NA	NULL	οτε	NULL	जब	NULL	mikor	setelah	NULL	NULL	NULL	NULL	tura	mi	orna	때에	NULL	vakaram	NULL	atzaj	NULL	व	အခ	जब	ijcuac	terwijl	da	ᐁᐊᓂ	NULL	چون	nony	gdy	NULL	NULL	kamobengi	aretak	NULL	kana	NULL	когда	NULL	keď	ko	ava	goortii	al	kad	kulipokuwa	när	ܘܟܕ	నప	nang	คร	NA	NULL	як	cuando	wode	xamee	NULL	kwathi
151	b.MAT.26.29a	when	NULL	wanneer	NULL	kur	quia	حينما	երբ	NULL	na	NULL	NULL	NULL	anae	NULL	mɨ	ꮎꭿᏻ	егда	NA	NULL	ϩⲟⲧⲁⲛ	NULL	když	da	da	te	kaŋ	NULL	kiam	mil	esi	jona	où	NULL	NULL	NA	ὅταν	οταν	ય	जब	kad	mikor	waktu	er	cui	yet	NULL	tura	NULL	ora	NULL	cum	kad	kada	NULL	NULL	NULL	NULL	NULL	ijcuac	dat	da	ᐊᐲ	tun	که	hiarahako	gdy	que	ci	nto	NULL	imahoras	NULL	cînd	когда	NULL	keď	ko	NULL	NULL	cuando	kad	nitakapoinywa	då	NULL	చ	NULL	NULL	NA	içmeyeceğim	коли	NULL	NULL	ba	sukuba	NULL
152	b.MAT.26.30a	when	NULL	nadat	NULL	mbasi	NULL	NULL	NULL	NULL	NULL	когато	tek	NULL	anae	NULL	mɨ	NULL	NULL	NA	ari	NULL	apre	NULL	da	da	wen	kaŋ	ɩlɛna	NULL	kui	esi	NULL	après	qabolo	tra	NA	NULL	αφου	ય	NULL	NULL	NULL	NULL	þegar	dopo	hayet	NULL	NULL	mi	jëtschuayama	NULL	NULL	NULL	NULL	tej	no	वर	NULL	NULL	ijcuac	na	da	NULL	NULL	NULL	rehefa	NULL	tendo	NULL	kahudu	te	NULL	kana	după	NULL	NULL	NULL	ko	vakati	goortay	después	NULL	baada	när	NULL	NULL	NULL	เม	NA	NULL	NULL	cuando	guyyiyan	gannaaw	NULL	kwathi
153	b.MAT.26.71a	when	NULL	terwyl	NULL	kur	jnda	اذ	երբ	hura	NULL	NULL	tek	NULL	anae	既	NULL	NULL	же	NA	ari	ⲉⲧⲁϥⲓ	apre	když	da	als	wen	NULL	ɩlɛna	kiam	kui	emegbe	kun	comme	gila	tra	þan	δὲ	οτε	ય	जब	kad	mikor	NULL	NULL	mentre	yet	NULL	NULL	NULL	chora	NULL	NULL	kad	NULL	NULL	ka	NULL	အခ	NULL	ijcuac	NULL	da	NULL	huan	چون	nony	gdy	saindo	ici	ree	aretak	NULL	antunchi	cînd	когда	NULL	jako	ko	wakati	goortuu	cuando	kad	NULL	när	ܘܟܕ	తర	paglabas	เม	NA	NULL	як	NULL	NULL	bi	kuthe	kwathi
154	b.MAT.27.1a	when	NULL	toe	NULL	kur	quia	ولما	երբ	guero	bero	NULL	tek	abut	ya	NULL	mɨ	NULL	же	NA	ari	ⲉⲧⲁ	NULL	když	da	NULL	na	waato	NULL	kiam	kui	esi	NULL	dès	orasi	tra	at	δὲ	οτε	NULL	जब	kad	mikor	NULL	NULL	NULL	NULL	NULL	tsawarmatai	NULL	ora	NULL	NULL	bet	NULL	atzaj	takiri	ह	အခ	NULL	ijcuac	NULL	da	NULL	huan	چون	nony	gdy	ora	pic	NULL	NULL	punzhayajpi	kana	cînd	когда	llig	keď	ko	ava	goortii	al	kad	NULL	när	ܟܕ	నప	pagka	NULL	NA	NULL	як	cuando	NULL	NULL	ke	kwathi
155	b.MAT.27.2a	when	NULL	NULL	NULL	mbasi	NULL	NULL	NULL	NULL	viju	NULL	tek	NULL	anae	NULL	NULL	ꮏꮙꮓ	NULL	NA	ari	NULL	apre	NULL	NULL	NULL	wen	NULL	NULL	kaj	NULL	emegbe	NULL	après	gila	erreish	NULL	NULL	NULL	ય	NULL	NULL	NULL	NULL	NULL	NULL	lahwi	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	bˈeˈx	no	व	NULL	ल	ijcuac	na	NULL	ᑕᔥ	NULL	NULL	rehefa	NULL	NULL	ici	NULL	NULL	NULL	NULL	după	NULL	NULL	NULL	NULL	NULL	NULL	después	NULL	NULL	och	NULL	ప	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL
156	b.MAT.27.3a	when	NULL	toe	tʉuya	kur	quia	لما	NULL	hura	ajicõari	когато	tek	NULL	34490	候	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	NULL	da	te	cine	ɩlɛna	NULL	NULL	NULL	kun	NULL	orasi	tra	NULL	NULL	NULL	NULL	यह	kada	NULL	ketika	þegar	NULL	hayet	NULL	tura	mi	ora	NULL	NULL	NULL	NULL	tej	no	व	NULL	पछ	ijcuac	NULL	og	ᐊᐲ	NULL	چون	raha	NULL	NULL	ci	NULL	aretak	NULL	kana	cînd	NULL	llig	NULL	NULL	wakati	goortuu	al	NULL	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	wode	xamee	NULL	NULL
157	b.MAT.27.12a	when	NULL	terwyl	tai	NULL	NULL	NULL	երբ	içanic	na	когато	NULL	diha	anae	NULL	lajeeˇ	NULL	егда	NA	impoiji	NULL	NULL	když	da	da	te	waato	waatʋ	kiam	kui	NULL	kun	NULL	NULL	tra	miþþanei	ἐν	ενω	ય	जब	dok	mikor	waktu	NULL	mentre	NULL	しかし	NULL	NULL	NULL	NULL	cum	kad	NULL	NULL	NULL	व	NULL	जब	NA	NULL	NULL	ᑕᔥ	un	وچون	raha	gdy	ao	pic	NULL	NULL	NULL	kana	NULL	когда	NULL	kým	ko	wakati	goortii	siendo	kad	NULL	när	ܘܟܕ	నప	nang	เม	NA	NULL	як	NULL	NULL	NULL	ke	kwathi
158	b.MAT.27.17a	when	NULL	nadat	tai	kur	quia	ففيما	երբ	NULL	acõari	като	NULL	NULL	anae	候	NULL	ꮏꮙ	NULL	NA	ari	NULL	lè	když	da	da	wen	za	ɩlɛna	kiam	kui	esi	kun	comme	NULL	tra	þan	συνηγμένων	ενω	NULL	जब	kad	mikor	waktu	NULL	mentre	yet	NULL	NULL	mi	ora	때에	NULL	kad	NULL	atzaj	no	ह	NULL	ग	ijcuac	NULL	da	NULL	NULL	چون	nony	gdy	estando	pic	kara	aretak	NULL	kana	cînd	когда	llig	keď	ko	vakati	goortay	estando	kad	NULL	när	ܘܟܕ	నప	nang	นเม	NA	NULL	як	cuando	NULL	ne	NULL	NULL
159	b.MAT.27.19a	when	NULL	terwyl	paire	ndërsa	NULL	واذ	NULL	eta	NULL	като	tek	samtang	anae	候	NULL	NULL	же	NA	NULL	ⲇⲉ	antan	když	medens	da	wen	NULL	waatʋ	dum	kui	esi	kun	qu	de	erreish	þan	δὲ	ενω	ય	जब	dok	pedig	waktu	meðan	mentre	hayet	NULL	NULL	mi	NULL	NULL	autem	kad	NULL	NULL	NULL	ह	NULL	ल	ijcuac	terwijl	mens	NULL	huan	چون	raha	gdy	estando	pic	nto	aretak	NULL	kana	cînd	NULL	NULL	keď	ko	zvino	kolkuu	mientras	kad	NULL	medan	ܟܕ	నప	samantalang	ขณะเม	NA	NULL	як	NULL	NULL	bi	ukuba	esahlezi
160	b.MAT.27.24a	when	ainau	toe	NULL	duke	jnda	فلما	եւ	eta	acõari	като	tek	ni	anae	NULL	mɨ	NULL	же	NA	ari	ⲇⲉ	lè	NULL	da	da	wen	kaŋ	kɔma	NULL	kui	esi	kun	NULL	NULL	tra	NA	δὲ	και	ય	जब	kad	NULL	NULL	NULL	NULL	hayet	NULL	tura	mi	NULL	NULL	autem	bet	NULL	tej	NULL	NULL	NULL	ल	ijcuac	NULL	da	ᐊᐲ	a	چون	raha	NULL	ao	pic	NULL	aretak	NULL	kana	cînd	NULL	NULL	keď	ko	zvino	goortuu	cuando	kad	basi	när	ܕܝܢ	NULL	nang	เม	NA	NULL	бачивши	cuando	NULL	naka	uthe	NULL
161	b.MAT.27.26a	when	ainau	toe	NULL	mbasi	jnda	NULL	NULL	NULL	NULL	NULL	ri	tapus	an	NULL	NULL	NULL	же	NA	NULL	ⲇⲉ	NULL	NULL	lod	NULL	NULL	NULL	ɩlɛna	NULL	NULL	esi	NULL	après	gila	erreish	NA	δὲ	δε	ર	NULL	NULL	NULL	NULL	NULL	dopo	lahwi	ピラトはバラバをゆるしてやり	tura	dɣa	NULL	NULL	NULL	bet	NULL	NULL	ka	ह	NULL	ल	NULL	NULL	NULL	NULL	a	NULL	NULL	NULL	NULL	ici	NULL	te	NULL	NULL	dupăce	NULL	NULL	NULL	ko	NULL	goortuu	después	NULL	NULL	sedan	NULL	నప	si	และเม	NA	NULL	NULL	NULL	NULL	NULL	ke	wamshaya
162	b.MAT.27.29a	when	NULL	NULL	NULL	NULL	jlaˈtyjoondyena	NULL	NULL	NULL	NULL	NULL	NULL	sa	NULL	NULL	mɨ	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	wen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NA	NULL	NULL	ય	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	bayté	NULL	NULL	NULL	NULL	NULL	no	व	NULL	ल	NULL	NULL	og	ᐅᑳᐎᒥᓇᑲᔒᕽ	huan	NULL	NULL	NULL	NULL	pic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	habiendo	NULL	NULL	vredo	NULL	డ	NULL	เม	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL
163	b.MAT.27.33a	when	NULL	NULL	NULL	kur	NULL	ولما	NULL	NULL	NULL	като	NULL	pag	anae	NULL	mɨ	ꮽꮒꮇꮸꮓ	пришедъше	NA	NULL	NULL	lè	NULL	da	da	te	waato	ɣʋ	veninte	kui	NULL	NULL	NULL	NULL	tra	NA	NULL	οτε	NULL	NULL	NULL	mikor	NULL	er	NULL	hayet	そして	NULL	mi	ora	NULL	NULL	NULL	NULL	NULL	NULL	व	NULL	NULL	ijcuac	toen	da	NULL	NULL	چون	rehefa	NULL	quando	pic	NULL	NULL	NULL	NULL	cînd	NULL	NULL	keď	ko	vakati	goortay	cuando	došavši	NULL	när	NULL	NULL	nang	เม	NA	NULL	NULL	cuando	NULL	NULL	NULL	NULL
164	b.MAT.27.34a	when	NULL	toe	tai	NULL	quia	ولما	երբ	NULL	NULL	като	tek	sa	anae	NULL	NULL	NULL	NULL	NA	NULL	ⲟⲩⲟϩ	lè	NULL	da	da	wen	waato	ɩlɛna	enmiksita	kui	esi	NULL	quand	NULL	tra	NA	μεμιγμένον	NULL	ય	NULL	kad	NULL	sesudah	NULL	NULL	yet	イエスはそれをなめただけで	tura	NULL	NULL	NULL	cum	NULL	NULL	atzaj	no	व	NULL	जब	ijcuac	NA	da	NULL	NULL	چون	nony	NULL	provando	ici	oti	aretak	caita	kana	cînd	NULL	llig	keď	ko	wakati	goortuu	cuando	NULL	NULL	då	NULL	NULL	nang	เม	NA	NA	NULL	NULL	NULL	bi	nenyongo	kuthe
165	b.MAT.27.47a	when	NULL	NULL	tai	kur	quia	لما	երբ	hori	NULL	като	tek	NULL	NULL	見	ie	NULL	NULL	NA	NULL	NULL	NULL	NULL	og	da	wen	waato	ɩlɛna	NULL	kui	NULL	NULL	ayant	gore	tra	NULL	NULL	NULL	ય	NULL	NULL	mint	NULL	er	NULL	NULL	NULL	NULL	NULL	ora	NULL	NULL	to	NULL	NULL	NULL	NULL	အခ	ल	NULL	NULL	da	NULL	NULL	چون	raha	NULL	NULL	pic	epe	NULL	caita	NULL	cînd	NULL	llig	keď	ko	NULL	goortay	cuando	NULL	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	hegaa	bi	yababemi	NULL
166	b.MAT.27.50a	when	tinamtai	NULL	nʉnkaa	NULL	quia	NULL	NULL	NULL	NULL	като	tek	NULL	anae	NULL	NULL	NULL	же	NA	ari	ⲇⲉ	NULL	pak	NULL	NULL	wen	NULL	ɩlɛna	NULL	NULL	NULL	NULL	NULL	NULL	tra	NULL	δὲ	δε	NULL	तब	NULL	pedig	NULL	NULL	NULL	lahwi	NULL	NULL	NULL	NULL	NULL	autem	bet	NULL	NULL	ka	NULL	သ	NULL	NULL	NULL	NULL	ᑕᔥ	huan	NULL	rehefa	NULL	NULL	pic	NULL	NULL	NULL	NULL	NULL	же	NULL	NULL	pa	zvino	goortuu	NULL	NULL	NULL	NULL	NULL	NULL	NULL	เม	NA	NULL	же	NULL	NULL	noonu	ke	NULL
167	b.MAT.27.54a	when	NULL	toe	NULL	kur	NULL	فلما	երբ	eta	NULL	NULL	chiriˈ	diha	anae	NULL	mɨ	ꮏꮙꮓ	же	NA	ari	ⲇⲉ	lè	tedy	da	NULL	wen	waato	ɩlɛna	kaj	kui	esi	kun	ayant	NULL	tra	NULL	ὁ	δε	NULL	NULL	NULL	NULL	waktu	þegar	NULL	hayet	NULL	tura	mi	NULL	NULL	NULL	NULL	NULL	aj	kitenga	व	NULL	NULL	ijcuac	NULL	da	ᐊᐲ	huan	چون	NULL	NULL	NULL	pic	NULL	aretak	NULL	NULL	cînd	NULL	llig	NULL	NULL	NULL	goortay	cuando	NULL	basi	när	NULL	NULL	nang	เม	NA	NULL	да	NULL	NULL	noonu	kaloku	NULL
168	b.MAT.27.57a	when	NULL	toe	NULL	si	NULL	ولما	երբ	cenean	agu	когато	tek	NULL	anae	NULL	mɨ	ꭴꮢꮓ	же	NA	ari	ⲉⲧⲁ	lè	když	da	NULL	wen	NULL	waatʋ	kiam	kui	esi	NULL	NULL	orasi	tra	þan	δὲ	οτε	ય	जब	NULL	mikor	NULL	NULL	NULL	NULL	NULL	NULL	mi	ora	때에	cum	vakaram	NULL	tej	ka	व	NULL	ल	ijcuac	NULL	da	ᐊᐲ	huan	چون	nony	gdy	NULL	pic	NULL	aretak	NULL	kana	NULL	когда	llig	keď	ko	zvino	goortay	al	kad	ilipokuwa	när	ܟܕ	నప	nang	โยเซฟชาวบ	NA	NULL	як	cuando	wode	ca	ke	NULL
169	b.MAT.27.59a	when	NULL	NULL	NULL	NULL	quia	NULL	NULL	NULL	NULL	като	NULL	NULL	NULL	NULL	NULL	NULL	ꙇ	NA	NULL	ⲁϥϭⲓ	NULL	NULL	NULL	und	wen	NULL	ɩlɛna	NULL	NULL	NULL	NULL	NULL	kagena	tra	NULL	λαβὼν	NULL	ય	NULL	NULL	NULL	NULL	NULL	NULL	lahwi	NULL	NULL	NULL	NULL	NULL	NULL	kad	NULL	NULL	ka	NULL	သ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	rehefa	a	NULL	ici	NULL	NULL	NULL	kana	NULL	NULL	NULL	NULL	NULL	NULL	goortuu	NULL	NULL	NULL	NULL	NULL	NULL	NULL	เม	NA	NULL	NULL	NULL	NULL	noonu	ke	NULL
170	b.MAT.28.11a	when	NULL	terwyl	NULL	ndërsa	NULL	NULL	երբ	partitu	na	когато	tek	NULL	anae	候	lajeeˇ	ꭰꮎꭲꮢꮓ	NULL	NA	ari	ⲉⲧⲁⲩϣⲉ	antan	když	medens	da	wen	NULL	NULL	dum	kui	esi	mennessään	pendant	de	myr	NA	δὲ	ενω	ય	NULL	dok	mialatt	sementara	meðan	mentre	lahwi	NULL	NULL	mi	NULL	NULL	cum	kad	NULL	tej	NULL	NULL	အခ	NULL	NULL	terwijl	mens	ᐁᐊᓂ	NULL	چون	nony	gdy	enquanto	NULL	NULL	NULL	NULL	NULL	cînd	когда	llig	keď	ko	NULL	NULL	NULL	kad	NULL	att	ܟܕ	ప	samantala	NULL	NA	NULL	як	cuando	NULL	ba	NULL	besahamba
171	b.MAT.28.12a	when	antukar	nadat	tai	NULL	NULL	NULL	NULL	NULL	na	като	NULL	sa	anae	NULL	NULL	ꮎꮝꭹꮓ	ꙇ	NA	NULL	ⲟⲩⲟϩ	lè	NULL	NULL	und	wen	NULL	NULL	NULL	NULL	esi	NULL	après	NULL	tra	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en	NULL	yet	NULL	NULL	mi	NULL	NULL	NULL	NULL	NULL	bˈeˈx	ka	NULL	NULL	NULL	ijcuac	dat	da	NULL	huan	NULL	rehefa	NULL	NULL	pic	NULL	NULL	rucuunahua	NULL	NULL	NULL	NULL	NULL	NULL	vakati	goortay	NULL	NULL	basi	sedan	NULL	ప	nang	เม	NA	NULL	NULL	NULL	NULL	noonu	bathe	NULL
172	b.MAT.28.17a	when	NULL	toe	tai	kur	NULL	ولما	երբ	NULL	NULL	като	tek	sa	anae	NULL	NULL	ꭼꮹꭺꮂꮓ	NULL	NA	noneajeitapaajiri	NULL	lè	NULL	da	da	wen	waato	ɩlɛna	kiam	kui	wokpee	kun	quand	NULL	tra	NA	NULL	NULL	ય	NULL	kad	mikor	waktu	NULL	quando	NULL	そして	NULL	mi	ora	NULL	NULL	NULL	NULL	tej	to	व	အခ	ल	ijcuac	toen	da	ᐊᐲ	huan	چون	nony	NULL	quando	NULL	NULL	aretak	NULL	kana	cînd	NULL	NULL	keď	ko	vakati	goortay	cuando	kad	NULL	när	ܘܟܕ	NULL	nang	และเม	NA	NULL	NULL	cuando	wode	bi	NULL	NULL
173	b.MAR.1.19a	when	jesús	toe	tai	mbasi	NULL	NULL	NULL	NULL	na	и	tek	sa	anae	NULL	mɨ	NULL	NULL	NA	NULL	NULL	NULL	NULL	da	da	wen	waato	ɩlɛna	NULL	NULL	esi	NULL	étant	kagena	tra	NULL	NULL	NULL	ય	जब	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	orna	NULL	NULL	NULL	NULL	teˈ	NULL	ज	NULL	जब	NULL	NULL	da	NULL	huan	NULL	rehefa	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	keď	NULL	NULL	markuu	al	NULL	NULL	när	ܘܟܕ	NULL	paglakad	คร	NA	NULL	NULL	NULL	NULL	bi	NULL	NULL
174	b.MAR.1.26a	when	NULL	NULL	NULL	NULL	NULL	فصرعه	NULL	NULL	to	NULL	NULL	NULL	anae	NULL	mɨ	NULL	NULL	NA	ari	ⲁϥϣⲧⲉⲣⲑⲱⲣϥ	NULL	polomcovav	NULL	und	wen	NULL	ɩlɛna	NULL	NULL	NULL	NULL	NULL	de	tra	tahida	NULL	NULL	NULL	NULL	NULL	NULL	NULL	teygði	NULL	NULL	NULL	NULL	NULL	chora	NULL	NULL	NULL	NULL	NULL	ka	व	သည	त	NULL	NULL	NULL	ᐁᑮᐅᒋᐱᓂᑯᔥᑲᐙᒡ	huan	NULL	NULL	NULL	NULL	NA	me	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	goortii	NULL	NULL	basi	då	ܘܫܕܬܗ	ప	NULL	และเม	NA	NULL	NULL	NULL	NULL	NULL	uthe	NULL
175	b.MAR.1.29a	when	jesús	toe	tai	sapo	jnda	ولما	NULL	NULL	NULL	NULL	tek	NULL	anae	NULL	mɨ	NULL	ишедъше	NA	ari	ⲉⲧⲁⲩⲓ	apre	NULL	da	NULL	wen	kaŋ	ɩlɛna	NULL	väljudes	NULL	NULL	NULL	qabolo	NULL	NULL	NULL	NULL	ય	NULL	pošto	NULL	NULL	NULL	NULL	lahwi	NULL	nuyá	mi	NULL	NULL	NULL	NULL	NULL	tej	NULL	ह	NULL	ल	quemaj	NULL	og	NULL	huan	NULL	raha	NULL	NULL	NA	NULL	aretak	huasha	NULL	dupăce	NULL	llig	keď	NULL	vakati	kolkay	cuando	NULL	NULL	då	NULL	NULL	NULL	NULL	NA	NULL	NULL	cuando	yesuusi	xamee	NULL	NULL
176	b.MAR.1.32a	when	NULL	toe	NULL	NULL	jnda	اذ	երբ	sartzean	NULL	като	tek	na	anae	候	mɨ	ꮏꮙ	егда	NA	NULL	ϩⲟⲧⲉ	apre	západu	da	da	te	NULL	waatʋ	kiam	NULL	esi	kun	après	orasi	mysh	þan	ὅτε	οτε	ય	समय	kad	mikor	sesudah	þegar	dopo	haxa	NULL	NULL	mi	ora	때에	cum	kad	nusileidus	tej	i	NULL	NULL	NULL	ijcuac	na	da	ᐊᐲ	nungin	چون	nilentika	gdy	tendo	NA	NULL	aretak	huasha	NULL	după	когда	llig	keď	ko	NULL	goortay	cuando	kad	NULL	när	ܕܝܢ	నప	nang	มธ	NA	batınca	як	cuando	NULL	bi	xa	kwathi
