	eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
b.MAT.21.19a	when	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	като	tek	NULL	ngaean	見	NULL	NULL	NULL	NA	irosati	NULL	lè	NULL	NULL	und	wen	NULL	ɩlɛna	NULL	NULL	esi	NULL	NULL	gila	tra	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	þegar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	i	व	သ	ग	ijcuac	NULL	da	NULL	NULL	NULL	NULL	NULL	NULL	pic	NULL	NULL	NULL	kana	NULL	NULL	NULL	NULL	NULL	wakati	NULL	al	NULL	NULL	då	NULL	NULL	NULL	และเม	NA	NULL	NULL	NULL	NULL	noonu	NULL	NULL
b.MAT.21.20a	when	turamtai	toe	tai	kur	quia	فلما	երբ	hori	NULL	NULL	tek	NULL	anae	見	mɨ	NULL	видѣвъше	NA	NULL	NULL	lè	NULL	da	da	wen	waato	NULL	kiam	kui	NULL	kun	NULL	NULL	tra	NA	ἰδόντες	ιδοντες	ર	यह	NULL	NULL	waktu	NULL	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	atzaj	no	NULL	NULL	NULL	ijcuac	NULL	da	NULL	huan	چون	nony	NULL	quando	ici	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	NULL	vakati	goortay	NULL	NULL	NULL	när	NULL	ప	nang	คร	NA	NULL	бачивши	cuando	NULL	xamee	NULL	NULL
b.MAT.21.23a	when	pujamtai	toe	NULL	kur	NULL	ولما	երբ	NULL	bero	когато	tek	pagsulod	anae	候	mɨ	NULL	егда	NA	NULL	NULL	NULL	když	da	als	wen	waato	ɣʋ	kiam	kui	esi	kun	NULL	NULL	tra	NA	ἐλθόντος	οτε	NULL	NULL	NULL	mikor	waktu	NULL	NULL	NULL	NULL	jesus	NULL	chents	NULL	cum	kad	kai	tej	NULL	NULL	NULL	ल	quemaj	toen	da	ᑕᔥ	nung	چون	rehefa	gdy	tendo	pic	NULL	aretak	NULL	kana	cînd	когда	NULL	keď	ko	wakati	goortuu	NULL	kad	NULL	när	ܘܟܕ	ప	pagpasok	เม	NA	NULL	як	cuando	NULL	loolu	xa	kuthe
b.MAT.21.32a	when	jesús	NULL	NULL	mbasi	NULL	اذ	NULL	ikussiric	i	като	tek	NULL	anae	見	ie	NULL	же	NA	NULL	ⲇⲉ	NULL	pak	NULL	NULL	te	waato	kɔma	kiam	NULL	esi	vaikka	NULL	NULL	NULL	NA	NULL	NULL	NULL	खकर	NULL	NULL	tetapi	en	avendo	yal	NULL	tura	akken	NULL	NULL	videntes	NULL	NULL	NULL	to	व	အခ	NULL	NULL	dat	enda	NULL	NULL	چون	NULL	widząc	vendo	NULL	NULL	NULL	NULL	kana	că	и	NULL	NULL	NULL	NULL	goortaad	aunque	pošto	baada	fastän	ܟܕ	NULL	pagkakita	NULL	NA	NULL	ж	NULL	NULL	bi	ke	NULL
b.MAT.21.34a	when	NULL	toe	tai	kur	quia	ولما	երբ	cenean	cojoru	когато	tek	na	anae	候	mɨ	ꮏꮙꮓ	егда	NA	NULL	ϩⲟⲧⲉ	lè	když	da	nun	wen	waato	kɔma	kiam	kui	esi	kun	lorsque	orasi	tra	NA	ὅτε	οτε	NULL	जब	kad	mikor	ketika	þegar	quando	yapni	NULL	tura	mi	NULL	NULL	cum	kad	atėjus	atzaj	no	व	အခ	NULL	ijcuac	NULL	nu	ᐊᐲ	NULL	وچون	rehefa	gdy	quando	pic	rata	xopan	pactarijpi	kana	cînd	когда	llig	keď	ko	yakati	goortii	cuando	kad	NULL	sedan	ܟܕ	నప	nang	คร	NA	NULL	як	cuando	NULL	xamee	ke	kwathi
b.MAT.21.38a	when	ainau	toe	tai	kur	quia	فلما	երբ	NULL	acõari	като	xu	NULL	anae	NULL	mɨ	NULL	егда	NA	NULL	NULL	lè	NULL	da	da	te	waato	kɔma	NULL	kui	esi	kun	quand	NULL	tra	NA	NULL	NULL	ય	NULL	kad	NULL	ketika	þegar	NULL	hayet	NULL	NULL	mi	orna	NULL	NULL	NULL	NULL	atzaj	no	ह	အခ	NULL	ijcuac	NA	da	ᐊᐲ	NULL	چون	nony	NULL	NULL	pic	karahilo	aretak	NULL	kana	cînd	NULL	llig	keď	ko	vakati	goortay	al	NULL	NULL	när	ܟܕ	ప	nang	เม	NA	NULL	NULL	cuando	NULL	bi	bathe	kwathi
b.MAT.21.40a	when	NULL	wanneer	tai	kur	quia	فمتى	երբ	dathorrenean	to	когато	tek	inig	anae	候	mɨ	ꮏꮙꮓ	егда	NA	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	na	waati	kɔma	kiam	kui	nenye	kun	lorsque	kagena	tra	NA	ὅταν	οταν	NULL	जब	kada	mikor	NULL	þegar	quando	yet	NULL	jesus	m	ora	때에	cum	kad	NULL	NULL	ina	NULL	အခ	ल	ijcuac	als	når	ᐊᐲ	chiang	چون	raha	gdy	quando	pic	NULL	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	NULL	cuando	kad	NULL	när	ܡܐ	నప	pagdating	เม	NA	NULL	як	cuando	wode	bu	xa	mhla
b.MAT.21.45a	when	NULL	toe	tai	kur	NULL	ولما	երբ	NULL	NULL	NULL	tek	NULL	anae	NULL	mɨ	ꮏꮙꮓ	слꙑшавъше	NA	ari	ⲇⲉ	lè	NULL	da	da	wen	waato	ɩlɛna	NULL	kui	kpɔe	kun	après	orasi	tra	NA	NULL	ακουσαντες	ય	NULL	kad	NULL	waktu	þegar	NULL	hayet	NULL	NULL	mi	NULL	NULL	cum	kad	NULL	atzaj	ka	व	NULL	हर	ijcuac	NULL	da	NULL	un	وچون	rehefa	usłyszawszy	NULL	pic	kara	aretak	NULL	kana	după	NULL	llig	keď	ko	NULL	goortay	al	čuvši	NULL	nu	NULL	NULL	nang	คร	NA	NULL	NULL	cuando	wode	xamee	NULL	NULL
b.MAT.21.46a	when	NULL	NULL	NULL	dhe	chii	واذ	NULL	eta	to	когато	tek	NULL	anae	NULL	ie	NULL	NULL	NA	jesoshi	ⲟⲩⲟϩ	lè	NULL	NULL	und	wen	waati	NULL	NULL	NULL	ne	ja	et	kagena	tra	NA	καὶ	NULL	NULL	NULL	NULL	mikor	NULL	NULL	NA	NULL	NULL	NULL	akken	chora	NULL	NULL	un	NULL	bˈeˈx	i	ह	NULL	NA	NULL	NULL	og	NULL	a	وچون	NULL	NULL	e	pic	NULL	NULL	NULL	NULL	NULL	и	NULL	NULL	NULL	zvino	goortay	NULL	NULL	NULL	NULL	ܘܟܕ	NULL	nang	เม	NA	NULL	NULL	NULL	NULL	noonu	NULL	NULL
b.MAT.22.7a	when	nuna	toe	NULL	kur	jnda	فلما	երբ	hori	NULL	NULL	tek	NULL	NULL	NULL	mɨ	ꮏꮙꮓ	NULL	NA	ari	NULL	NULL	NULL	NULL	da	wen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	orasi	tra	NA	ὁ	NULL	જ	NULL	NULL	NULL	waktu	NULL	NULL	hayet	NULL	NULL	NULL	ora	NULL	cum	kad	NULL	bˈeˈx	NULL	NULL	NULL	ल	NULL	NULL	NULL	ᑕᔥ	NULL	چون	NULL	gdy	NULL	pic	NULL	NULL	NULL	kana	cînd	NULL	NULL	keď	NULL	zvino	markuu	NULL	kad	NULL	då	ܟܕ	NULL	NULL	คร	NA	NULL	NULL	NULL	NULL	noonu	NULL	NULL
b.MAT.22.11a	when	NULL	toe	tai	NULL	jnda	فلما	երբ	cenean	agu	като	NULL	pagsulod	anae	NULL	mɨ	ꮏꮙꮓ	NULL	NA	ari	ⲉⲧⲁϥⲓ	NULL	tedy	nu	da	wen	waato	NULL	NULL	NULL	esi	kun	NULL	kagena	tra	NA	NULL	NULL	NULL	जब	kad	NULL	NULL	NULL	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	atzaj	no	ज	အခ	ल	quemaj	NULL	nu	NULL	NULL	NULL	nony	NULL	quando	pic	NULL	NULL	NULL	kana	NULL	NULL	NULL	keď	ko	NULL	kolkuu	cuando	NULL	NULL	när	NULL	NULL	pagpasok	เม	NA	geldiğinde	NULL	cuando	wode	NULL	ke	kuthe
b.MAT.22.22a	when	NULL	toe	tai	kur	jnda	فلما	երբ	hori	NULL	като	tek	NULL	anae	NULL	mɨ	NULL	ꙇ	NA	ari	NULL	lè	NULL	da	da	wen	waato	ɩlɛna	kaj	kui	esi	kun	qu	NULL	tra	NA	NULL	NULL	ય	NULL	NULL	NULL	waktu	þegar	NULL	yet	NULL	NULL	mi	ora	NULL	NULL	kad	NULL	tej	ka	NULL	NULL	ल	ijcuac	NULL	da	ᐊᐲ	NULL	چون	nony	NULL	ao	ici	NULL	aretak	caita	kana	NULL	NULL	llig	keď	ko	vakati	goortay	al	i	NULL	när	ܘܟܕ	NULL	at	คร	NA	NULL	NULL	cuando	wode	bi	NULL	NULL
b.MAT.22.25a	when	NULL	NULL	koro	NULL	quia	واذ	NULL	NULL	NULL	като	ri	NULL	ya	NULL	NULL	NULL	NULL	NA	NULL	ⲟⲩⲟϩ	NULL	NULL	NULL	NULL	wen	waato	ɩlɛna	NULL	NULL	hafi	NULL	comme	NULL	NULL	NA	NULL	αφου	NULL	यह	NULL	NULL	NULL	NULL	appena	yet	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	teˈ	ka	NULL	NULL	NULL	NULL	NULL	da	NULL	huan	چون	NULL	NULL	tendo	NULL	NULL	NULL	NULL	NULL	s	NULL	NULL	NULL	NULL	NULL	NULL	como	NULL	NULL	eftersom	NULL	డ	at	NULL	NA	NULL	NULL	NULL	ekkidi	ba	akubon	NULL
b.MAT.22.33a	when	NULL	toe	tai	kur	quia	فلما	երբ	NULL	NULL	като	tek	NULL	anae	見	mɨ	NULL	слꙑшавъше	NA	NULL	NULL	NULL	NULL	da	da	wen	waato	wei	kiam	kui	NULL	kuullessaan	NULL	qabolo	tra	NA	NULL	ακουσαντες	ય	NULL	NULL	NULL	ketika	en	NULL	yet	NULL	nuna	mi	ora	NULL	NULL	NULL	NULL	atzaj	no	व	NULL	ल	ijcuac	NULL	da	NULL	huan	چون	raha	usłyszawszy	NULL	pic	kara	aretak	NULL	kana	NULL	NULL	llig	keď	ko	NULL	goortay	al	čuvši	NULL	när	ܘܟܕ	NULL	nang	NULL	NA	NULL	NULL	cuando	NULL	ne	NULL	kwathi
b.MAT.22.34a	when	nuna	toe	NULL	kur	jnda	فلما	երբ	bada	ajicõari	NULL	tek	pagkadungog	anae	NULL	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	wen	waato	waatʋ	NULL	kui	esi	kun	NULL	kagena	tra	NA	NULL	NULL	ય	जब	kad	NULL	waktu	þegar	NULL	yet	NULL	NULL	mi	ora	NULL	NULL	kad	NULL	atzaj	no	ह	NULL	NULL	ijcuac	toen	da	ᐊᐲ	NULL	چون	nony	gdy	quando	pic	kara	aretak	NULL	kana	cînd	NULL	NULL	NULL	ko	vakati	goortay	al	NULL	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	NULL	gannaaw	kaloku	NULL
b.MAT.23.15a	when	NULL	as	tai	kur	jnda	ومتى	երբ	denean	acõari	когато	tek	na	anae	既	mɨ	NULL	егда	NA	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	NULL	kiam	kui	ne	NULL	quand	nakoso	tra	NA	ὅταν	οταν	ય	जब	kad	ha	sesudah	þegar	NULL	NULL	NULL	NULL	mi	ora	NULL	cum	kad	kai	ajtzin	no	व	NULL	ल	ijcuac	als	når	ᐊᐲ	huan	چون	rehefa	gdy	depois	pic	NULL	aretak	NULL	antunchi	după	когда	ir	keď	ko	kana	kolkuu	cuando	kad	NULL	när	ܘܡܐ	నప	kung	เม	NA	NULL	коли	cuando	wode	noppi	xa	NULL
b.MAT.24.3a	when	jeatak	wanneer	tai	kur	cwaaⁿ	متى	րբ	noiz	acõari	кога	tek	kanus	ngaean	候	tɨˊ	NULL	когда	NA	NULL	ⲇⲉ	lè	kdy	når	wann	nɛn	waatifo	NULL	kiam	millal	NULL	milloin	quand	kagena	cuin	NA	πότε	ποτε	ય	कब	kada	mikor	NULL	hvenær	quando	hayet	NULL	NULL	melmi	ora	때에	quando	kad	kada	chˈixtaq	NULL	NULL	အခ	ल	ijcuac	wanneer	når	ᐊᐲ	chiang	که	NULL	kiedy	quando	pic	nto	jampaˈ	imahoras	kana	cînd	когда	managu	kedy	kdaj	NULL	goormay	cuándo	kad	lini	när	ܐܡܬܝ	నప	kailan	นเม	NA	zaman	коли	or	NULL	kañ	ukuba	NULL
b.MAT.24.15a	when	NULL	wanneer	tai	kur	jnda	فمتى	երբ	NULL	acõari	когато	tek	NULL	n	NULL	mɨ	NULL	егда	NA	NULL	ⲇⲉ	wè	když	når	wenn	te	waati	NULL	kiam	kui	ne	kun	lorsque	orasi	tra	NA	ὅταν	οταν	ય	NA	kada	mikor	NULL	þegar	quando	NULL	NULL	NULL	m	ora	NULL	cum	kad	kai	NULL	NULL	व	NULL	ल	ijcuac	NULL	når	NULL	chiang	چون	raha	gdy	quando	pic	NULL	NULL	imahoras	kana	cînd	когда	NULL	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܡܐ	NULL	pagkakita	เม	NA	NULL	як	NULL	NULL	bés	xa	NULL
b.MAT.24.32a	when	NULL	wanneer	tai	kur	quia	متى	երբ	ia	NULL	когато	tek	NULL	yanguin	候	mɨ	NULL	егда	NA	ariorica	ⲉϣⲱⲡ	NULL	když	når	wenn	te	waati	saa	kiam	kui	nenye	kun	dès	nakoso	tra	NA	ὅταν	οταν	ય	NULL	kad	mikor	kalau	þegar	quando	hayet	NULL	NULL	mi	ora	NULL	cum	kad	kai	aj	i	व	အခ	जब	ijcuac	wanneer	snart	NULL	NULL	چون	raha	gdy	quando	pic	ane	aretak	imahoras	kana	cînd	когда	NULL	keď	kadar	kana	NULL	cuando	kad	wakati	när	NULL	నప	pagka	เม	NA	NULL	коли	cuando	wode	xamee	xa	nxa
b.MAT.24.33a	when	jeatak	wanneer	tai	kur	quia	متى	երբ	NULL	acõari	когато	tek	NULL	yaguin	見	NULL	ꭲᏻꮓ	егда	NA	ariorica	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	waatʋ	kiam	NA	ne	kun	quand	orasi	tra	NA	ὅταν	οταν	ય	जब	kad	mikor	kalau	þegar	quando	yet	NULL	tsawant	m	ora	NULL	cum	kad	išvydę	aj	ina	ज	NULL	जब	ijcuac	wanneer	når	ᑕᔥ	chiang	چون	raha	gdy	quando	pic	ane	aretak	imahoras	kana	cînd	когда	tz	keď	ko	kana	goortaad	cuando	kad	NULL	när	ܡܐ	నప	pagka	เม	NA	NULL	як	cuando	wode	bu	xa	nxa
b.MAT.24.46a	when	wainak	as	tai	kur	quia	اذا	NULL	NULL	NULL	като	tek	abut	yaguin	見	mɨ	NULL	пришедъ	NA	ari	ⲉϣⲱⲡ	lè	NULL	når	wenn	te	d	kɔma	veninte	NULL	NULL	tullessaan	NULL	nakoso	tra	NA	ἐλθὼν	οταν	ય	समय	kada	mikor	apabila	er	NULL	yet	NULL	taa	m	ora	때에	cum	NULL	sugrįžęs	aj	ina	NULL	NULL	जब	ijcuac	NULL	når	ᐊᐲ	chiang	چون	raha	przyszedłszy	quando	pic	NULL	aretak	NULL	kana	NULL	NULL	NULL	keď	kadar	kana	goortuu	cuando	došavši	NULL	när	NULL	నప	kung	เม	NA	NULL	прийшовши	NULL	NULL	NULL	NULL	NULL
b.MAT.24.50a	when	NULL	dat	tai	kur	NULL	NULL	երբ	NULL	NULL	когато	NULL	NULL	anae	時	mɨ	NULL	ньже	NA	impoiji	NULL	NULL	NULL	da	NULL	NULL	kaŋ	NULL	kiam	mil	NULL	jona	où	orasi	NULL	NA	NULL	ην	ય	NULL	NULL	NULL	NULL	NULL	se	hayet	NULL	NULL	NULL	ora	NULL	NULL	kad	kai	tej	NULL	NULL	အခ	जब	ijcuac	dat	da	ᐊᐲ	lai	که	NULL	którego	que	NULL	bula	NULL	NULL	NULL	NULL	NULL	NULL	ktorý	kadar	NULL	NULL	que	kad	NULL	då	NULL	NULL	NULL	NULL	NA	NA	NULL	cuando	NULL	bu	NULL	NULL
b.MAT.25.31a	when	NULL	wanneer	tai	kur	NULL	ومتى	երբ	NULL	agu	когато	tek	na	yaguin	候	mɨ	ꮏꮙ	егда	NA	jesoshi	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	waatʋ	kiam	kui	ne	kun	lorsque	orasi	tra	NA	ὅταν	οταν	NULL	जब	kad	mikor	apabila	þegar	quando	NULL	NULL	jesus	asm	NULL	NULL	cum	kad	kai	aj	taenga	ह	NULL	ग	ijcuac	wanneer	når	ᐊᐲ	chiang	چون	raha	gdy	quando	pic	ane	aretak	NULL	kana	cînd	когда	llig	keď	kadar	kana	goortii	cuando	kad	wakati	när	ܡܐ	నప	pagparito	NULL	NA	NULL	як	cuando	wode	xamee	ke	nxa
b.MAT.25.37a	when	NULL	wanneer	tai	kur	cwaaⁿ	متى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	NULL	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	nɛn	waatifo	NULL	kiam	NULL	NULL	milloin	quand	orasi	cuin	NA	πότε	ποτε	ય	कब	kada	mikor	NULL	hvenær	quando	NULL	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	NULL	ल	NULL	wanneer	når	ᐋᓇᐲ	chiang	NULL	oviana	NULL	quando	NULL	nto	jampaˈ	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	NULL	cuándo	kad	lini	när	ܐܡܬܝ	డ	kailan	เม	NA	zaman	коли	or	aude	kañ	nini	NULL
b.MAT.25.38a	when	NULL	wanneer	tai	kur	cwaaⁿ	ومتى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	NULL	NULL	когда	NA	NULL	NULL	NULL	kdy	når	als	NULL	NULL	NULL	kiam	millal	ne	milloin	quand	orasi	cuin	þan	πότε	ποτε	NULL	कब	kada	mikor	NULL	hvenær	quando	NULL	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	အခ	NULL	NULL	NULL	når	ᐋᓇᐲ	NULL	NULL	NULL	NULL	quando	NULL	nto	jampaˈ	NULL	kana	cînd	когда	managu	NULL	kdaj	NULL	NULL	cuándo	kad	lini	när	ܘܐܡܬܝ	డ	kailan	เม	NA	NULL	коли	or	aude	kañ	ke	NULL
b.MAT.25.39a	when	NULL	wanneer	tai	kur	NULL	ومتى	րբ	noiz	to	кога	tek	kanus	NULL	候	NA	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	NULL	waatifo	NULL	kiam	millal	ne	milloin	quand	NULL	cuin	þan	πότε	δε	ર	कब	kada	mikor	NULL	hvenær	quando	yet	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	NULL	ल	NULL	wanneer	når	ᐋᓇᐲ	NULL	NULL	oviana	NULL	quando	NULL	nto	NULL	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	NULL	cuándo	kad	lini	när	ܘܐܡܬܝ	డ	kailan	เม	NA	NULL	коли	or	aude	kañ	ke	NULL
b.MAT.25.44a	when	NULL	wanneer	NULL	kur	cwaaⁿ	متى	րբ	noiz	NULL	кога	tek	kanus	ngaean	候	NULL	NULL	когда	NA	NULL	NULL	NULL	kdy	når	wann	nɛn	waatifo	NULL	kiam	NA	eva	milloin	quand	de	cuin	NULL	πότε	ποτε	ય	कब	kada	mikor	NULL	hvenær	quando	NULL	NULL	NULL	melmi	NULL	때에	quando	kad	kada	NULL	NULL	NULL	အခ	NULL	quemanon	wanneer	når	ᐋᓇᐲ	chiang	NULL	oviana	NULL	quando	NULL	nto	jampaˈ	NULL	kana	cînd	когда	managu	kedy	kdaj	NULL	NULL	cuándo	kad	lini	när	ܐܡܬܝ	ప	kailan	เม	NA	zaman	коли	or	aude	kañ	nini	NULL
b.MAT.26.1a	when	NULL	toe	tʉpo	mbasi	jnda	ولما	երբ	NULL	NULL	когато	tek	na	anae	了	mɨ	ꮎꮝꭹ	егда	NA	impoiji	ⲉⲧⲁ	lè	když	da	da	NULL	NULL	ɩlɛna	kiam	kui	esi	kun	lorsque	NULL	erreish	biþe	ὅτε	οτε	ય	जब	kad	a	waktu	þegar	NULL	lahwi	NULL	NULL	mi	NULL	NULL	cum	kad	baigęs	NULL	NULL	NULL	NULL	ल	ijcuac	NULL	da	NULL	NULL	چون	rehefa	gdy	havendo	NULL	kahudu	aretak	NULL	kana	dupăce	когда	llig	keď	ko	wakati	goortii	cuando	kad	alipomaliza	när	NULL	తర	nang	NULL	NA	NULL	як	cuando	wode	ne	xa	NULL
b.MAT.26.6a	when	NULL	toe	NULL	kur	NULL	NULL	երբ	eta	NULL	като	ri	sa	anae	NULL	lajeeˇ	NULL	NULL	NA	impoiji	ⲇⲉ	antan	když	da	da	wen	waato	NULL	kiam	kui	NULL	kun	comme	orasi	tra	NA	γενομένου	οτε	NULL	जब	kad	mikor	ketika	NULL	mentre	yet	NULL	NULL	mi	NULL	NULL	cum	kad	kai	NULL	i	NULL	NULL	NULL	NULL	NULL	da	NULL	NULL	هنگامی	nony	gdy	estando	NULL	NULL	NULL	NULL	kana	cînd	когда	NULL	keď	ko	wakati	goortuu	estando	kad	NULL	när	ܘܟܕ	నప	nang	NULL	NA	NULL	як	NULL	de7ishin	ne	NULL	kuthe
b.MAT.26.8a	when	NULL	toe	tai	kur	quia	فلما	երբ	hori	NULL	като	tek	NULL	anae	見	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	wen	waato	NULL	kiam	kui	NULL	NULL	NULL	NA	tra	NA	NULL	ιδοντες	ય	NULL	NULL	NULL	NULL	NULL	NULL	hayet	NULL	NULL	mi	orna	NULL	NULL	kad	NULL	atzaj	no	ह	NULL	NULL	ijcuac	NULL	da	NULL	un	چون	nony	widząc	quando	ici	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	NULL	goortay	al	kad	NULL	då	NULL	NULL	nang	เม	NA	NULL	побачивши	cuando	NULL	bi	NULL	NULL
b.MAT.26.10a	when	nuna	toe	a	NULL	quia	NULL	NULL	hori	NULL	NULL	chanin	sa	anae	NULL	NULL	ꭴꮩꮄꮀꮢ	же	NA	NULL	ⲇⲉ	NULL	NULL	da	da	wen	za	ɩlɛna	NULL	kui	NULL	kun	NULL	NULL	tra	NA	δὲ	δε	ય	नकर	NULL	mikor	NULL	NULL	NULL	hayet	NULL	NULL	NULL	NULL	NULL	NULL	bet	NULL	atzaj	NULL	ह	NULL	NULL	NULL	NULL	da	NULL	NULL	NULL	ary	gdy	NULL	pic	NULL	NULL	NULL	NULL	cînd	NULL	NULL	keď	ko	NULL	goortuu	como	kad	NULL	när	NULL	NULL	nang	เม	NA	NULL	NULL	NULL	NULL	NULL	NULL	kepha
b.MAT.26.20a	when	NULL	toe	tai	kur	NULL	ولما	երբ	cenean	NULL	NULL	tek	NULL	anae	NULL	NULL	ꭴꮢꮓ	NULL	NA	ari	ⲉⲧⲁ	lè	když	da	NULL	ɣɔn	waato	kɔma	kiam	kui	NULL	kun	NULL	NULL	tra	NA	NULL	οτε	NULL	जब	NULL	mikor	setelah	NULL	NULL	NULL	NULL	tura	mi	orna	때에	NULL	vakaram	NULL	atzaj	NULL	व	အခ	जब	ijcuac	terwijl	da	ᐁᐊᓂ	NULL	چون	nony	gdy	NULL	NULL	NULL	aretak	NULL	kana	NULL	когда	NULL	keď	ko	ava	goortii	al	kad	NULL	när	ܘܟܕ	నప	nang	คร	NA	NULL	як	cuando	wode	xamee	NULL	kwathi
b.MAT.26.29a	when	NULL	wanneer	NULL	kur	quia	حينما	երբ	NULL	na	NULL	NULL	NULL	anae	NULL	mɨ	ꮎꭿᏻ	егда	NA	NULL	ϩⲟⲧⲁⲛ	NULL	když	da	da	te	kaŋ	NULL	kiam	mil	esi	jona	où	NULL	NULL	NA	ὅταν	οταν	ય	जब	kad	mikor	waktu	er	cui	yet	NULL	tura	NULL	ora	NULL	cum	kad	kada	NULL	NULL	NULL	NULL	NULL	ijcuac	dat	da	ᐊᐲ	tun	که	NULL	gdy	que	ci	nto	NULL	imahoras	NULL	cînd	когда	NULL	keď	ko	NULL	NULL	cuando	kad	NULL	då	NULL	చ	NULL	NULL	NA	NULL	коли	NULL	NULL	ba	NULL	NULL
b.MAT.26.30a	when	NULL	nadat	NULL	mbasi	NULL	NULL	NULL	NULL	NULL	когато	tek	NULL	anae	NULL	mɨ	NULL	NULL	NA	ari	NULL	apre	NULL	da	da	wen	kaŋ	ɩlɛna	NULL	kui	esi	NULL	après	qabolo	tra	NA	NULL	αφου	ય	NULL	NULL	NULL	NULL	þegar	dopo	hayet	NULL	NULL	mi	jëtschuayama	NULL	NULL	NULL	NULL	tej	no	वर	NULL	NULL	ijcuac	na	da	NULL	NULL	NULL	rehefa	NULL	tendo	NULL	kahudu	te	NULL	kana	după	NULL	NULL	NULL	ko	vakati	goortay	después	NULL	baada	när	NULL	NULL	NULL	เม	NA	NULL	NULL	cuando	guyyiyan	gannaaw	NULL	kwathi
b.MAT.26.71a	when	NULL	terwyl	NULL	kur	jnda	اذ	երբ	hura	NULL	NULL	tek	NULL	anae	既	NULL	NULL	же	NA	ari	ⲉⲧⲁϥⲓ	apre	když	da	als	wen	NULL	ɩlɛna	kiam	kui	emegbe	kun	comme	gila	tra	þan	δὲ	οτε	ય	जब	kad	mikor	NULL	NULL	mentre	yet	NULL	NULL	NULL	chora	NULL	NULL	kad	NULL	NULL	ka	NULL	အခ	NULL	ijcuac	NULL	da	NULL	huan	چون	nony	gdy	saindo	ici	NULL	aretak	NULL	antunchi	cînd	когда	NULL	jako	ko	wakati	goortuu	cuando	kad	NULL	när	ܘܟܕ	తర	NULL	เม	NA	NULL	як	NULL	NULL	bi	kuthe	kwathi
b.MAT.27.1a	when	NULL	toe	NULL	kur	quia	ولما	երբ	guero	bero	NULL	tek	abut	ya	NULL	mɨ	NULL	же	NA	ari	ⲉⲧⲁ	NULL	když	da	NULL	na	waato	NULL	kiam	kui	esi	NULL	dès	orasi	tra	at	δὲ	οτε	NULL	जब	kad	mikor	NULL	NULL	NULL	NULL	NULL	tsawarmatai	NULL	ora	NULL	NULL	bet	NULL	atzaj	NULL	ह	အခ	NULL	ijcuac	NULL	da	NULL	huan	چون	nony	gdy	ora	pic	NULL	NULL	NULL	kana	cînd	когда	llig	keď	ko	ava	goortii	al	kad	NULL	när	ܟܕ	నప	pagka	NULL	NA	NULL	як	cuando	NULL	NULL	ke	kwathi
